accommodation_type,address,category,city,description,detail_content,detail_url,district,email,images,item_id,list_snippet,listing_source_type,name,num_rooms,phone,price_range,source,source_category_code,star_rating,ward,website
Khách sạn,"Lô 51-52, Đường Hồ Hán Thương, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=8704,Sơn Trà,,[],8704,"Sanghe condotel Địa chỉ: lô 51-52, đường Hồ Hán Thương, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Sanghe Condotel,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"Lô I 11 Phạm Văn Đồng, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=11777,Sơn Trà,,[],11777,"Khách sạn Sofia Địa chỉ: Lô I 11 Phạm Văn Đồng, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Khách Sạn Sofia,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"Lô 53 Đường Hồ Hán Thương, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=9474,Sơn Trà,,[],9474,"khách sạn hùng thư Địa chỉ: lô 53 đường hồ hán thương, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Khách Sạn Hùng Thư,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"27 VÕ VĂN KIỆT, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=10498,Sơn Trà,,[],10498,"khách sạn KOVA DIAMOND Địa chỉ: 27 VÕ VĂN KIỆT, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Khách Sạn KOVA DIAMOND,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"38 Thạch Lam, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=11523,Sơn Trà,,[],11523,"Boo Hostel Địa chỉ: 38 Thạch Lam, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Boo Hostel,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"78 Chế Lan Viên, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=8708,Ngũ Hành Sơn,,[],8708,"Sunriver Apartment Địa chỉ: 78 Chế Lan Viên, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",Tự đăng ký,Sunriver Apartment,,,,csdl_vietnamtourism,cslt,5 sao,Ngũ Hành Sơn,
Khách sạn,"54-56 Trần Bạch Đằng, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=11780,Ngũ Hành Sơn,,[],11780,"Khách sạn Sofiana Mỹ Khê Địa chỉ: 54-56 Trần Bạch Đằng, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",Tự đăng ký,Khách Sạn Sofiana Mỹ Khê,,,,csdl_vietnamtourism,cslt,5 sao,Ngũ Hành Sơn,
Khách sạn,"21 Lê Quý Đôn, Phường Cẩm Phô, Thành phố Hội An, Tỉnh Quảng Nam, Thành phố Hội An, Quảng Nam",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=15365,Hội An,,[],15365,"Homestay Minh Phát Địa chỉ: 21 Lê Quý Đôn, phường Cẩm Phô, thành phố Hội An, tỉnh Quảng Nam, Thành phố Hội An, Quảng Nam",Tự đăng ký,Homestay Minh Phát,,,,csdl_vietnamtourism,cslt,5 sao,Phường Cẩm Phô,
Khách sạn,"Lô 2&3 Đường Mê Linh, Liên Chiểu, Đà Nẵng, Quận Liên Chiểu, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14342,Liên Chiểu,,[],14342,"Khách sạn Huy Hải Địa chỉ: Lô 2&3 Đường Mê Linh, Liên Chiểu, Đà Nẵng, Quận Liên Chiểu, Thành phố Đà Nẵng",Tự đăng ký,Khách Sạn Huy Hải,,,,csdl_vietnamtourism,cslt,5 sao,Liên Chiểu,
Khách sạn,"Tổ 5 Thanh Đông, Thành phố Hội An, Quảng Nam",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14855,Hội An,,[],14855,"Cơ sở lưu trú Giang Địa chỉ: tổ 5 Thanh Đông, Thành phố Hội An, Quảng Nam",Tự đăng ký,Cơ Sở Lưu Trú Giang,,,,csdl_vietnamtourism,cslt,5 sao,Hội An,
Khách sạn,"164/21 Lý Thường Kiệt-Sơn Phong-Thành phố Hội An, Hội An, Thành phố Hội An, Quảng Nam",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=15881,Hội An,,[],15881,"MAISONHAI HOMESTAY Địa chỉ: 164/21 Lý Thường Kiệt-Sơn Phong-Thành phố Hội An, Hội An, Thành phố Hội An, Quảng Nam",Tự đăng ký,MAISONHAI HOMESTAY,,,,csdl_vietnamtourism,cslt,5 sao,Hội An,
Khách sạn,"31 Phan Liêm, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=8716,Ngũ Hành Sơn,,[],8716,"Sharon Apartment And Spa Địa chỉ: 31 Phan Liêm, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",Tự đăng ký,Sharon Apartment And Spa,,,,csdl_vietnamtourism,cslt,5 sao,Ngũ Hành Sơn,
Khách sạn,"Lô A38 Trần Văn Trứ, Quận Hải Châu, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=8718,Hải Châu,,[],8718,"Simple Hotel Địa chỉ: Lô A38 Trần văn trứ, Quận Hải Châu, Thành phố Đà Nẵng",Tự đăng ký,Simple Hotel,,,,csdl_vietnamtourism,cslt,5 sao,Hải Châu,
Khách sạn,"122/1 Quang Trung, Quận Hải Châu, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14862,Hải Châu,,[],14862,"Delistay homestay Địa chỉ: 122/1 Quang Trung, Quận Hải Châu, Thành phố Đà Nẵng",Tự đăng ký,Delistay Homestay,,,,csdl_vietnamtourism,cslt,5 sao,Hải Châu,
Khách sạn,"Tổ 13 An Bàng, Cẩm An, Thành phố Hội An, Quảng Nam",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14863,Hội An,,[],14863,"Dịch vụ lưu trú Rau Muống Biển An Bàng Địa chỉ: Tổ 13 an bàng, cẩm an, Thành phố Hội An, Quảng Nam",Tự đăng ký,Dịch Vụ Lưu Trú Rau Muống Biển An Bàng,,,,csdl_vietnamtourism,cslt,5 sao,Hội An,
Khách sạn,"215 Trần Phú, Hải Châu, Quận Hải Châu, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14864,Hải Châu,,[],14864,"Dragon Hostel Địa chỉ: 215 Trần Phú, Hải Châu, Quận Hải Châu, Thành phố Đà Nẵng",Tự đăng ký,Dragon Hostel,,,,csdl_vietnamtourism,cslt,5 sao,Hải Châu,
Khách sạn,"06-08 Phạm Thiều, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14867,Sơn Trà,,[],14867,"Dương Gia Hotel Địa chỉ: 06-08 Phạm Thiều , Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Dương Gia Hotel,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"Số 1/1 Lê Quý Đôn, Cẩm Phô, Hội An, Thành phố Hội An, Quảng Nam",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=8724,Hội An,,[],8724,"Nhà nhỏ Hội An Địa chỉ: Số 1/1 Lê quý đôn, Cẩm phô, hội an, Thành phố Hội An, Quảng Nam",Tự đăng ký,Nhà Nhỏ Hội An,,,,csdl_vietnamtourism,cslt,5 sao,Hội An,
Khách sạn,"3A Yết Kiêu, Sơn Trà, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=11284,Sơn Trà,,[],11284,"Navy Hotel Da Nang Địa chỉ: 3A Yết Kiêu, Sơn Trà, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Navy Hotel Da Nang,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"K227/64 Nguyễn Văn Thoại, An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14612,Sơn Trà,,[],14612,"Enjoy Home Apartment Địa chỉ: K227/64 nguyễn văn thoại , An Hải, Quận Sơn Trà, Thành phố Đà Nẵng",Tự đăng ký,Enjoy Home Apartment,,,,csdl_vietnamtourism,cslt,5 sao,Sơn Trà,
Khách sạn,"Tổ 3 Khối Thịnh Mỹ, Cẩm An, Hội An, Quảng Nam, Thành phố Hội An, Quảng Nam",accommodation,Đà Nẵng,,,https://csdl.vietnamtourism.gov.vn/cslt/?item=14868,Hội An,,[],14868,"Dịch vụ lưu trú BIỂN XANH THẲM( Blue beach homestay) Địa chỉ: Tổ 3 khối Thịnh Mỹ, Cẩm An, Hội An, Quảng Nam, Thành phố Hội An, Quảng Nam",Tự đăng ký,Dịch Vụ Lưu Trú BIỂN XANH THẲM( Blue Beach Homestay),,,,csdl_vietnamtourism,cslt,5 sao,Hội An,
